index,Company,TypeName,Ram,OpSys,Weight,Price,TouchScreen,IPS,PPI,CPU_name,HDD,SSD,Gpu brand,Predicted Price
0,Apple,Ultrabook,8,Mac,1.370000005,856.5442,0,1,226.9830047,Intel Core i5,0,128,Intel,915.6525892
1,Apple,Ultrabook,8,Mac,1.340000033,574.7463,0,0,127.6779401,Intel Core i5,0,0,Intel,861.9087972
2,HP,Notebook,8,Other,1.860000014,367.632,0,0,141.2119981,Intel Core i5,0,256,Intel,590.9452165
3,Apple,Ultrabook,16,Mac,1.830000043,1622.344,0,1,220.5346239,Intel Core i7,0,512,AMD,1262.849555
4,Apple,Ultrabook,8,Mac,1.370000005,1153.15,0,1,226.9830047,Intel Core i5,0,256,Intel,932.1464519
5,Acer,Notebook,4,Windows,2.099999905,255.744,0,0,100.4546699,AMD Processor,500,0,AMD,326.2073536
6,Apple,Ultrabook,16,Mac,2.039999962,1368.211,0,1,220.5346239,Intel Core i7,0,0,Intel,1256.065125
7,Apple,Ultrabook,8,Mac,1.340000033,740.8264,0,0,127.6779401,Intel Core i5,0,0,Intel,861.9087972
8,Asus,Ultrabook,16,Windows,1.299999952,955.8432,0,0,157.3505121,Intel Core i7,0,512,Nvidia,1209.556158
9,Acer,Ultrabook,8,Windows,1.600000024,492.3072,0,1,157.3505121,Intel Core i5,0,256,Intel,739.1677571
10,HP,Notebook,4,Other,1.860000014,251.8439,0,0,100.4546699,Intel Core i5,500,0,Intel,431.1374063
11,HP,Notebook,4,Other,1.860000014,220.5728,0,0,141.2119981,Intel Core i3,500,0,Intel,325.6364976
12,Apple,Ultrabook,16,Mac,1.830000043,1560.019,0,1,220.5346239,Intel Core i7,0,256,AMD,1260.264209
13,Dell,Notebook,4,Windows,2.200000048,318.9767,0,0,141.2119981,Intel Core i3,0,256,AMD,331.7577961
14,Apple,Ultrabook,8,Mac,0.920000017,807.1281,0,1,226.4155472,Other Intel Processor,0,256,Intel,932.6645504
15,Apple,Ultrabook,8,Mac,1.370000005,970.9001,0,1,226.9830047,Intel Core i5,0,256,Intel,932.1464519
16,Dell,Notebook,8,Windows,2.200000048,476.3232,0,0,141.2119981,Intel Core i7,0,256,AMD,654.0269362
17,Apple,Ultrabook,16,Mac,1.830000043,1827.291,0,1,220.5346239,Intel Core i7,0,512,AMD,1262.849555
18,Lenovo,Notebook,8,Other,2.200000048,319.0406,0,0,141.2119981,Intel Core i3,1000,0,Nvidia,534.0189778
19,Dell,Ultrabook,8,Windows,1.220000029,625.9334,1,1,165.6321181,Intel Core i5,0,128,Intel,888.3312055
20,Asus,Netbook,2,Windows,0.980000019,122.6932,0,0,135.0942112,Other Intel Processor,0,0,Intel,211.8324135
21,Lenovo,Gaming,8,Windows,2.5,638.7206,0,1,141.2119981,Intel Core i5,1000,128,Nvidia,709.2016677
