Company,TypeName,Ram,OpSys,Weight,TouchScreen,IPS,PPI,CPU_name,HDD,SSD,Gpu brand,Predicted Price
Apple,Ultrabook,8,Mac,1.37,0,1,226.9830047,Intel Core i5,0,128,Intel,915.6525892
Apple,Ultrabook,8,Mac,1.34,0,0,127.6779401,Intel Core i5,0,0,Intel,861.9087972
HP,Notebook,8,Other,1.86,0,0,141.2119981,Intel Core i5,0,256,Intel,590.9452165
Apple,Ultrabook,16,Mac,1.83,0,1,220.5346239,Intel Core i7,0,512,AMD,1262.849555
Apple,Ultrabook,8,Mac,1.37,0,1,226.9830047,Intel Core i5,0,256,Intel,932.1464519
Acer,Notebook,4,Windows,2.1,0,0,100.4546699,AMD Processor,500,0,AMD,326.2073536
Apple,Ultrabook,16,Mac,2.04,0,1,220.5346239,Intel Core i7,0,0,Intel,1256.065125
Apple,Ultrabook,8,Mac,1.34,0,0,127.6779401,Intel Core i5,0,0,Intel,861.9087972
Asus,Ultrabook,16,Windows,1.3,0,0,157.3505121,Intel Core i7,0,512,Nvidia,1209.556158
Acer,Ultrabook,8,Windows,1.6,0,1,157.3505121,Intel Core i5,0,256,Intel,739.1677571
HP,Notebook,4,Other,1.86,0,0,100.4546699,Intel Core i5,500,0,Intel,431.1374063
HP,Notebook,4,Other,1.86,0,0,141.2119981,Intel Core i3,500,0,Intel,325.6364976
Apple,Ultrabook,16,Mac,1.83,0,1,220.5346239,Intel Core i7,0,256,AMD,1260.264209
Dell,Notebook,4,Windows,2.2,0,0,141.2119981,Intel Core i3,0,256,AMD,331.7577961
Apple,Ultrabook,8,Mac,0.92,0,1,226.4155472,Other Intel Processor,0,256,Intel,932.6645504
Apple,Ultrabook,8,Mac,1.37,0,1,226.9830047,Intel Core i5,0,256,Intel,932.1464519
Dell,Notebook,8,Windows,2.2,0,0,141.2119981,Intel Core i7,0,256,AMD,654.0269362
Apple,Ultrabook,16,Mac,1.83,0,1,220.5346239,Intel Core i7,0,512,AMD,1262.849555
